Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","840","United States of America","5110","Area","6600","Country area","2023","2023","1000 ha","983151","I","Value imputed by a receiving agency",""
"RL","Land Use","850","United States Virgin Islands","5110","Area","6600","Country area","2023","2023","1000 ha","35","I","Value imputed by a receiving agency",""
"RL","Land Use","858","Uruguay","5110","Area","6600","Country area","2023","2023","1000 ha","17622","A","Official figure",""
"RL","Land Use","860","Uzbekistan","5110","Area","6600","Country area","2023","2023","1000 ha","44892","A","Official figure",""
"RL","Land Use","548","Vanuatu","5110","Area","6600","Country area","2023","2023","1000 ha","1219","I","Value imputed by a receiving agency",""
"RL","Land Use","862","Venezuela (Bolivarian Republic of)","5110","Area","6600","Country area","2023","2023","1000 ha","91205","I","Value imputed by a receiving agency",""
"RL","Land Use","704","Viet Nam","5110","Area","6600","Country area","2023","2023","1000 ha","33133.831","A","Official figure",""
"RL","Land Use","876","Wallis and Futuna Islands","5110","Area","6600","Country area","2023","2023","1000 ha","14.2","X","Figure from external organization",""
"RL","Land Use","732","Western Sahara","5110","Area","6600","Country area","2023","2023","1000 ha","26600","I","Value imputed by a receiving agency",""
"RL","Land Use","887","Yemen","5110","Area","6600","Country area","2023","2023","1000 ha","52797","I","Value imputed by a receiving agency",""
"RL","Land Use","894","Zambia","5110","Area","6600","Country area","2023","2023","1000 ha","75261","I","Value imputed by a receiving agency",""
"RL","Land Use","716","Zimbabwe","5110","Area","6600","Country area","2023","2023","1000 ha","39076","I","Value imputed by a receiving agency",""
